website,loc,lastmod,cured_name,type
www.kevinrchant.com,https://www.kevinrchant.com/2020/09/30/you-can-set-default-branch-name-for-new-repositories-in-azure-devops/,2020 09 30,you can set default branch name for new repositories in azure devops,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/08/what-is-new-for-the-next-dataweekender/,2020 10 11,what is new for the next dataweekender,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/15/dataweekenders-unique-formula/,2020 10 15,dataweekenders unique formula,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/19/initial-thoughts-about-second-dataweekender/,2020 10 20,initial thoughts about second dataweekender,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/21/deploying-to-many-versions-of-sql-server-databases-using-one-commit/,2020 10 21,deploying to many versions of sql server databases using one commit,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/11/04/sharing-personal-azure-devops-organizations-to-test-sql-server-deployments/,2020 11 04,sharing personal azure devops organizations to test sql server deployments,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/11/12/sql-server-product-owner-tips-to-make-the-most-of-microsoft-teams/,2020 11 12,sql server product owner tips to make the most of microsoft teams,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/12/08/t-sql-tuesday-133-learning-new-things-by-building-demos/,2020 12 08,t sql tuesday 133 learning new things by building demos,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/01/10/patching-sql-server-on-windows-notes-from-the-field/,2020 12 17,patching sql server on windows notes from the field,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/01/04/an-interesting-month-to-take-off/,2021 01 04,an interesting month to take off,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/11/28/fixing-some-of-the-problems-caused-when-you-introduce-columnstore-indexes/,2021 01 05,fixing some of the problems caused when you introduce columnstore indexes,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/11/27/fixing-some-of-the-problems-caused-when-you-introduce-rowstore-filtered-indexes/,2021 01 05,fixing some of the problems caused when you introduce rowstore filtered indexes,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/10/18/a-unique-review-of-sql-server-index-types/,2021 01 05,a unique review of sql server index types,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/10/16/a-quick-introduction-to-power-bi-report-server/,2021 01 05,a quick introduction to power bi report server,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/11/26/a-couple-of-things-to-watch-out-for-if-deploying-power-bi-reporting-services/,2021 01 05,a couple of things to watch out for if deploying power bi reporting services,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/10/23/how-sql-server-dbas-can-use-power-bi-report-server/,2021 01 05,how sql server dbas can use power bi report server,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/10/09/my-first-t-sql-tuesday-contribution-death-march/,2021 01 06,my first t sql tuesday contribution death march,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/11/06/useful-sql-server-related-powershell-modules-for-the-dba/,2021 01 07,useful sql server related powershell modules for the dba,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/01/07/giving-some-2018-posts-a-makeover/,2021 01 07,giving some 2018 posts a makeover,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/01/12/t-sql-tuesday-134-taking-breaks/,2021 01 12,t sql tuesday 134 taking breaks,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/02/01/transform-your-sql-server-database-schema-for-a-dedicated-sql-pool/,2021 02 01,transform your sql server database schema for a dedicated sql pool,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/04/03/dataweekender-v3-1-call-for-speakers-ends-in-seven-days/,2021 04 03,dataweekender v3 1 call for speakers ends in seven days,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/04/08/additional-speaker-info-for-dataweekender-v3-1/,2021 04 09,additional speaker info for dataweekender v3 1,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/03/22/thoughts-about-the-increase-in-demand-for-azure-data-engineering-roles/,2021 05 17,thoughts about the increase in demand for azure data engineering roles,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/12/21/2020-edition-of-sql-server-related-services-in-azure/,2021 05 25,2020 edition of sql server related services in azure,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/12/14/deploying-to-multiple-sql-server-database-types-using-azure-devops-faster/,2021 05 25,deploying to multiple sql server database types using azure devops faster,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/12/25/sql-server-related-services-in-azure-2019/,2021 05 25,sql server related services in azure 2019,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/03/12/call-for-speakers-for-dataweekender-v3-1-is-now-open/,2021 05 25,call for speakers for dataweekender v3 1 is now open,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/03/09/t-sql-tuesday-136-bit-versus-other-data-types/,2021 05 25,t sql tuesday 136 bit versus other data types,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/02/25/date-for-dataweekender-v3-1-has-been-announced/,2021 05 25,date for dataweekender v3 1 has been announced,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/03/schedule-for-next-dataweekender-is-now-live/,2021 05 25,schedule for next dataweekender is now live,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/08/24/dataweekender-call-for-speakers-is-now-open/,2021 05 25,dataweekender call for speakers is now open,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/03/25/how-to-make-the-most-out-of-certification-pages-for-azure-exams/,2021 05 31,how to make the most out of certification pages for azure exams,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/03/02/certification-announcement-by-microsoft-and-the-coronavirus/,2021 05 31,certification announcement by microsoft and the coronavirus,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/06/15/passing-the-az-400-devops-exam/,2021 05 31,passing the az 400 devops exam,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/01/17/running-sql-server-within-hyper-v-on-your-own-laptop/,2021 06 16,running sql server within hyper v on your own laptop,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/05/01/sql-servers-complex-relationship-with-file-permissions/,2021 06 16,sql servers complex relationship with file permissions,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/07/09/t-sql-tuesday-116-adopting-sql-server-on-linux/,2021 06 16,t sql tuesday 116 adopting sql server on linux,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/09/03/t-sql-tuesday-118-your-fantasy-sql-feature/,2021 06 16,t sql tuesday 118 your fantasy sql feature,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/03/28/using-linux-desktop-environment-with-sql-server/,2021 06 16,using linux desktop environment with sql server,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/11/13/t-sql-tuesday-relearning-linux/,2021 06 16,t sql tuesday relearning linux,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/05/14/t-sql-tuesday-114-powershell-puzzle/,2021 06 16,t sql tuesday 114 powershell puzzle,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/03/18/personal-azure-resource-manager-templates-overview/,2021 06 16,personal azure resource manager templates overview,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/04/09/t-sql-tuesday-113-what-i-use-databases-for/,2021 06 16,t sql tuesday 113 what i use databases for,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/12/05/various-cloud-infrastructure-options-to-consider-when-choosing-a-cloud-provider/,2021 06 16,various cloud infrastructure options to consider when choosing a cloud provider,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/03/05/sqlbits-2019/,2021 06 16,sqlbits 2019,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/02/12/t-sql-tuesday-111-why-i-do-what-i-do/,2021 06 16,t sql tuesday 111 why i do what i do,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/05/29/creating-clustered-columnstore-indexes-everywhere/,2021 06 16,creating clustered columnstore indexes everywhere,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/12/04/building-a-test-lab-to-use-outside-work/,2021 06 16,building a test lab to use outside work,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/07/10/looking-back-at-sql-server-2008-and-sql-server-2008-r2/,2021 06 16,looking back at sql server 2008 and sql server 2008 r2,blog
